isic_id,source_collection,label,vignette_present,ruler_present,hair_present,color_cast_present,p_malig__original,p_malig__no_vignette,p_malig__no_ruler,p_malig__no_hair,p_malig__no_colorcast,p_malig__all_removed
ISIC_0034677,212,0,0,0,1,0,0.23988591134548187,0.23988591134548187,0.23988591134548187,0.3813075125217438,0.642548680305481,0.6326236724853516
ISIC_0031760,212,0,0,0,0,1,0.4585374593734741,0.4585374593734741,0.4585374593734741,0.4585374593734741,0.5913513898849487,0.5913513898849487
ISIC_0026538,212,0,0,0,1,1,0.6708554625511169,0.6708554625511169,0.6708554625511169,0.7285074591636658,0.6878468990325928,0.7514871954917908
ISIC_0034250,212,0,0,0,0,1,0.5344247817993164,0.5344247817993164,0.5344247817993164,0.5344247817993164,0.5133042335510254,0.5133042335510254
ISIC_0027893,212,0,0,0,1,1,0.6679654717445374,0.6679654717445374,0.6679654717445374,0.6955829858779907,0.6776660680770874,0.6762357950210571
ISIC_0025315,212,0,0,0,1,0,0.3881816864013672,0.3881816864013672,0.3881816864013672,0.17372889816761017,0.6828955411911011,0.35925471782684326
ISIC_0031136,212,0,0,0,0,1,0.1768832951784134,0.1768832951784134,0.1768832951784134,0.1768832951784134,0.5519487857818604,0.5519487857818604
ISIC_0027766,212,0,0,0,1,0,0.5874829888343811,0.5874829888343811,0.5874829888343811,0.5024959444999695,0.6543144583702087,0.4913399815559387
ISIC_0033793,212,0,0,0,1,1,0.7144765853881836,0.7144765853881836,0.7144765853881836,0.7028505206108093,0.6839497685432434,0.6687920689582825
ISIC_0031260,212,0,0,1,1,0,0.32860293984413147,0.32860293984413147,0.3335586190223694,0.1960284560918808,0.585832953453064,0.5785873532295227
ISIC_0026208,212,0,0,0,0,1,0.2838457524776459,0.2838457524776459,0.2838457524776459,0.2838457524776459,0.5920947790145874,0.5920947790145874
ISIC_0029629,212,0,0,0,0,0,0.21391776204109192,0.21391776204109192,0.21391776204109192,0.21391776204109192,0.5380724668502808,0.5380724668502808
ISIC_0033556,212,0,0,0,1,1,0.6068776845932007,0.6068776845932007,0.6068776845932007,0.5388565063476562,0.6487143635749817,0.6048998236656189
ISIC_0024851,212,0,0,0,1,0,0.6454683542251587,0.6454683542251587,0.6454683542251587,0.5920444130897522,0.6590785384178162,0.612439751625061
ISIC_0027481,212,0,0,0,0,1,0.19172243773937225,0.19172243773937225,0.19172243773937225,0.19172243773937225,0.45056846737861633,0.45056846737861633
ISIC_0028138,212,0,0,1,1,0,0.48924365639686584,0.48924365639686584,0.4974726736545563,0.5233417749404907,0.47404637932777405,0.5639700889587402
ISIC_0031456,212,0,0,1,1,0,0.14996737241744995,0.14996737241744995,0.1397446244955063,0.3065705895423889,0.3403685688972473,0.5755746364593506
ISIC_0025135,212,0,0,0,0,1,0.35254815220832825,0.35254815220832825,0.35254815220832825,0.35254815220832825,0.5026545524597168,0.5026545524597168
ISIC_0033088,212,0,0,0,1,1,0.6666722893714905,0.6666722893714905,0.6666722893714905,0.7501163482666016,0.6753435134887695,0.7148284316062927
ISIC_0026205,212,0,0,1,1,0,0.37587517499923706,0.37587517499923706,0.36778706312179565,0.2973920702934265,0.5441019535064697,0.4118154048919678
ISIC_0025070,212,0,0,0,1,0,0.4048655331134796,0.4048655331134796,0.4048655331134796,0.39077234268188477,0.6595277786254883,0.6570260524749756
ISIC_0027310,212,0,0,0,1,0,0.5966903567314148,0.5966903567314148,0.5966903567314148,0.6799768209457397,0.6040558815002441,0.6772249341011047
ISIC_0029752,212,0,0,0,1,0,0.2953939139842987,0.2953939139842987,0.2953939139842987,0.2852432131767273,0.4051262140274048,0.37924924492836
ISIC_0025883,212,0,0,0,1,1,0.6565614342689514,0.6565614342689514,0.6565614342689514,0.7528272271156311,0.6689616441726685,0.724968671798706
ISIC_0031422,212,0,0,0,1,0,0.4574577212333679,0.4574577212333679,0.4574577212333679,0.49578529596328735,0.6344053745269775,0.4750076234340668
ISIC_0032304,212,0,0,0,1,1,0.652523934841156,0.652523934841156,0.652523934841156,0.7486536502838135,0.6380520462989807,0.7303283214569092
ISIC_0028986,212,0,0,0,0,1,0.08236951380968094,0.08236951380968094,0.08236951380968094,0.08236951380968094,0.36965131759643555,0.36965131759643555
ISIC_0031327,212,0,0,1,1,0,0.3267016112804413,0.3267016112804413,0.30396875739097595,0.3024653196334839,0.46508675813674927,0.5187267661094666
ISIC_0035508,212,0,0,1,1,0,0.3731183409690857,0.3731183409690857,0.38895362615585327,0.47520312666893005,0.5063551664352417,0.6327586770057678
ISIC_0027637,212,0,0,1,0,0,0.2511795461177826,0.2511795461177826,0.27136871218681335,0.2511795461177826,0.5604588985443115,0.5765543580055237
ISIC_0032210,212,0,0,0,1,1,0.10403873026371002,0.10403873026371002,0.10403873026371002,0.052312444895505905,0.4649776518344879,0.2500452995300293
ISIC_0030790,212,0,0,0,1,0,0.4645184278488159,0.4645184278488159,0.4645184278488159,0.42044079303741455,0.48630547523498535,0.392232745885849
ISIC_0032089,212,0,0,0,1,0,0.2815249562263489,0.2815249562263489,0.2815249562263489,0.2487465739250183,0.4452425241470337,0.49999886751174927
ISIC_0033214,212,0,0,0,0,0,0.6421351432800293,0.6421351432800293,0.6421351432800293,0.6421351432800293,0.6352556347846985,0.6352556347846985
ISIC_0026155,212,0,0,0,1,1,0.439460813999176,0.439460813999176,0.439460813999176,0.41306596994400024,0.46506255865097046,0.4692015051841736
ISIC_0026824,212,0,0,0,1,0,0.35024866461753845,0.35024866461753845,0.35024866461753845,0.4865604043006897,0.4721454381942749,0.5181490778923035
ISIC_0025142,212,0,0,0,1,0,0.2268504947423935,0.2268504947423935,0.2268504947423935,0.4703764021396637,0.486716628074646,0.4659268260002136
ISIC_0030411,212,0,0,0,1,1,0.08059531450271606,0.08059531450271606,0.08059531450271606,0.24863415956497192,0.32575586438179016,0.4073951840400696
ISIC_0032753,212,0,0,1,1,1,0.5355638265609741,0.5355638265609741,0.538491427898407,0.6550918221473694,0.5545379519462585,0.665076732635498
ISIC_0035488,212,0,0,0,0,0,0.5361741185188293,0.5361741185188293,0.5361741185188293,0.5361741185188293,0.5459445118904114,0.5459445118904114
ISIC_0029733,212,0,0,0,0,0,0.5918841361999512,0.5918841361999512,0.5918841361999512,0.5918841361999512,0.5220664143562317,0.5220664143562317
ISIC_0026785,212,0,0,0,0,1,0.183530792593956,0.183530792593956,0.183530792593956,0.183530792593956,0.39370036125183105,0.39370036125183105
ISIC_0029229,212,0,0,0,1,0,0.18648852407932281,0.18648852407932281,0.18648852407932281,0.1567448377609253,0.530954122543335,0.4957978427410126
ISIC_0029355,212,0,0,0,1,1,0.6761989593505859,0.6761989593505859,0.6761989593505859,0.6638118028640747,0.6548672318458557,0.6535980105400085
ISIC_0027918,212,0,0,0,0,0,0.21793130040168762,0.21793130040168762,0.21793130040168762,0.21793130040168762,0.42162445187568665,0.42162445187568665
ISIC_0030338,212,0,0,0,0,0,0.1463974565267563,0.1463974565267563,0.1463974565267563,0.1463974565267563,0.4979761838912964,0.4979761838912964
ISIC_0032040,212,0,0,0,1,1,0.6230396032333374,0.6230396032333374,0.6230396032333374,0.6544470191001892,0.6357778310775757,0.629847526550293
ISIC_0031483,212,0,0,0,1,1,0.44606560468673706,0.44606560468673706,0.44606560468673706,0.3690873980522156,0.4335242807865143,0.3609935939311981
ISIC_0027226,212,0,0,0,1,0,0.6220698356628418,0.6220698356628418,0.6220698356628418,0.6450281739234924,0.6262552738189697,0.6924034953117371
ISIC_0026969,212,0,0,0,1,0,0.26113012433052063,0.26113012433052063,0.26113012433052063,0.2945820689201355,0.46387070417404175,0.4996632933616638
ISIC_0030249,212,1,0,0,0,0,0.7497846484184265,0.7497846484184265,0.7497846484184265,0.7497846484184265,0.7480022311210632,0.7480022311210632
ISIC_0028994,212,1,0,0,1,1,0.7863032221794128,0.7863032221794128,0.7863032221794128,0.8707897663116455,0.7314550280570984,0.8587903380393982
ISIC_0031041,212,1,0,0,1,1,0.8339492678642273,0.8339492678642273,0.8339492678642273,0.7302560210227966,0.8574146628379822,0.753847599029541
ISIC_0035767,212,1,0,0,1,0,0.5863281488418579,0.5863281488418579,0.5863281488418579,0.657619059085846,0.5919044017791748,0.6614772081375122
ISIC_0035376,212,1,0,0,1,1,0.7900735139846802,0.7900735139846802,0.7900735139846802,0.692387580871582,0.8223934173583984,0.6240007281303406
ISIC_0028542,212,1,0,0,1,1,0.6715793013572693,0.6715793013572693,0.6715793013572693,0.691548764705658,0.5573300719261169,0.8121009469032288
ISIC_0033366,212,1,0,0,1,1,0.7087362408638,0.7087362408638,0.7087362408638,0.654377281665802,0.661051332950592,0.6212345957756042
ISIC_0024595,212,1,0,0,1,1,0.6763039231300354,0.6763039231300354,0.6763039231300354,0.5213947296142578,0.6470986604690552,0.5693933963775635
ISIC_0032441,212,1,0,0,1,1,0.7282834649085999,0.7282834649085999,0.7282834649085999,0.7240884900093079,0.7241134643554688,0.6847071647644043
