isic_id,source_collection,label,p_orig,p_full_norm,p_LACN,p_lesion_only,dP_full,dP_LACN,dP_lesion
ISIC_0034677,212,0,0.18114499747753143,0.8783107399940491,0.8413645029067993,0.5802295207977295,0.6971657425165176,0.6602195054292679,0.39908452332019806
ISIC_0031760,212,0,0.47917401790618896,0.7707391977310181,0.7541736364364624,0.6959547996520996,0.2915651798248291,0.27499961853027344,0.21678078174591064
ISIC_0026538,212,0,0.8293901681900024,0.9269989132881165,0.8170377016067505,0.834622323513031,0.09760874509811401,-0.012352466583251953,0.0052321553230285645
ISIC_0034250,212,0,0.5858532190322876,0.6225172877311707,0.7327544689178467,0.766426146030426,0.03666406869888306,0.14690124988555908,0.18057292699813843
ISIC_0027893,212,0,0.8078850507736206,0.8883071541786194,0.8902593851089478,0.8150442242622375,0.08042210340499878,0.08237433433532715,0.007159173488616943
ISIC_0025315,212,0,0.16317646205425262,0.9293262362480164,0.808658242225647,0.6975927948951721,0.7661497741937637,0.6454817801713943,0.5344163328409195
ISIC_0031136,212,0,0.07381723821163177,0.7932252883911133,0.45768430829048157,0.4952368438243866,0.7194080501794815,0.3838670700788498,0.4214196056127548
ISIC_0027766,212,0,0.7005938291549683,0.8852264881134033,0.8155348896980286,0.8713263273239136,0.18463265895843506,0.1149410605430603,0.1707324981689453
ISIC_0033793,212,0,0.7729713320732117,0.8100836873054504,0.7876988649368286,0.7940883636474609,0.03711235523223877,0.014727532863616943,0.021117031574249268
ISIC_0031260,212,0,0.049488674849271774,0.8059331178665161,0.5045958161354065,0.3793485164642334,0.7564444430172443,0.4551071412861347,0.3298598416149616
ISIC_0026208,212,0,0.023547707125544548,0.6599681377410889,0.48965373635292053,0.12617892026901245,0.6364204306155443,0.466106029227376,0.1026312131434679
ISIC_0029629,212,0,0.05464814230799675,0.503121554851532,0.448539674282074,0.2574275732040405,0.44847341254353523,0.3938915319740772,0.20277943089604378
ISIC_0033556,212,0,0.854710578918457,0.8344513773918152,0.865754246711731,0.9048619866371155,-0.020259201526641846,0.011043667793273926,0.05015140771865845
ISIC_0024851,212,0,0.8750145435333252,0.8891512155532837,0.869769811630249,0.803756594657898,0.014136672019958496,-0.005244731903076172,-0.07125794887542725
ISIC_0027481,212,0,0.06088215485215187,0.29626378417015076,0.3021854758262634,0.4092618525028229,0.23538162931799889,0.24130332097411156,0.348379697650671
ISIC_0028138,212,0,0.04840603098273277,0.7186639904975891,0.4878193140029907,0.1684293895959854,0.6702579595148563,0.43941328302025795,0.12002335861325264
ISIC_0031456,212,0,0.0214590635150671,0.5939714908599854,0.37240180373191833,0.11596854776144028,0.5725124273449183,0.35094274021685123,0.09450948424637318
ISIC_0025135,212,0,0.0323789082467556,0.705797016620636,0.4724639058113098,0.5436432361602783,0.6734181083738804,0.4400849975645542,0.5112643279135227
ISIC_0033088,212,0,0.8000357747077942,0.7898165583610535,0.8103828430175781,0.6878910064697266,-0.010219216346740723,0.010347068309783936,-0.11214476823806763
ISIC_0026205,212,0,0.3944965898990631,0.8113192915916443,0.8824024200439453,0.3442791998386383,0.4168227016925812,0.4879058301448822,-0.050217390060424805
ISIC_0027310,212,0,0.7907570600509644,0.7609837055206299,0.8415054082870483,0.741963803768158,-0.029773354530334473,0.050748348236083984,-0.048793256282806396
ISIC_0029752,212,0,0.40182095766067505,0.6089825630187988,0.6414092183113098,0.6414377689361572,0.20716160535812378,0.23958826065063477,0.23961681127548218
ISIC_0025883,212,0,0.7560703158378601,0.687421441078186,0.7908731698989868,0.7511987090110779,-0.06864887475967407,0.03480285406112671,-0.0048716068267822266
ISIC_0031422,212,0,0.6114753484725952,0.6642363667488098,0.7493894100189209,0.745611310005188,0.0527610182762146,0.13791406154632568,0.13413596153259277
ISIC_0032304,212,0,0.8094251751899719,0.8134022951126099,0.8205589652061462,0.800826370716095,0.0039771199226379395,0.011133790016174316,-0.008598804473876953
ISIC_0028986,212,0,0.02284541353583336,0.42835596203804016,0.20845746994018555,0.17472907900810242,0.4055105485022068,0.1856120564043522,0.15188366547226906
ISIC_0031327,212,0,0.1270214170217514,0.8026145100593567,0.3656191825866699,0.4377817213535309,0.6755930930376053,0.23859776556491852,0.3107603043317795
ISIC_0035508,212,0,0.2375650405883789,0.766043484210968,0.6049707531929016,0.6042798161506653,0.5284784436225891,0.3674057126045227,0.3667147755622864
ISIC_0027637,212,0,0.023447692394256592,0.7136702537536621,0.7178346514701843,0.21052587032318115,0.6902225613594055,0.6943869590759277,0.18707817792892456
ISIC_0030790,212,0,0.8767971992492676,0.8482358455657959,0.844436526298523,0.8795881271362305,-0.02856135368347168,-0.03236067295074463,0.0027909278869628906
ISIC_0032089,212,0,0.2091340571641922,0.7150237560272217,0.6860840916633606,0.682218611240387,0.5058896988630295,0.4769500344991684,0.47308455407619476
ISIC_0033214,212,0,0.7825525403022766,0.8868540525436401,0.8090267777442932,0.8213573694229126,0.10430151224136353,0.0264742374420166,0.038804829120635986
ISIC_0026155,212,0,0.04604561626911163,0.642096996307373,0.5290234088897705,0.08330932259559631,0.5960513800382614,0.4829777926206589,0.03726370632648468
ISIC_0026824,212,0,0.4733710289001465,0.6903597116470337,0.6266440153121948,0.5973013043403625,0.2169886827468872,0.15327298641204834,0.12393027544021606
ISIC_0025142,212,0,0.045240432024002075,0.5599312782287598,0.1644333302974701,0.5989357829093933,0.5146908462047577,0.11919289827346802,0.5536953508853912
ISIC_0030411,212,0,0.2791420817375183,0.6648980975151062,0.746619701385498,0.8198206424713135,0.3857560157775879,0.46747761964797974,0.5406785607337952
ISIC_0032753,212,0,0.5928995013237,0.7533233165740967,0.8620443344116211,0.7378107905387878,0.16042381525039673,0.26914483308792114,0.1449112892150879
ISIC_0035488,212,0,0.6034958362579346,0.5691392421722412,0.5631175637245178,0.520461916923523,-0.03435659408569336,-0.04037827253341675,-0.08303391933441162
ISIC_0029733,212,0,0.6278108954429626,0.6731674075126648,0.43363815546035767,0.6964111328125,0.04535651206970215,-0.19417273998260498,0.06860023736953735
ISIC_0026785,212,0,0.06005217134952545,0.5121159553527832,0.31770527362823486,0.21869303286075592,0.45206378400325775,0.2576531022787094,0.15864086151123047
ISIC_0029355,212,0,0.8157722353935242,0.8179792761802673,0.8034524321556091,0.8386943936347961,0.002207040786743164,-0.012319803237915039,0.022922158241271973
ISIC_0027918,212,0,0.14358727633953094,0.7559707164764404,0.663197934627533,0.445576012134552,0.6123834401369095,0.519610658288002,0.30198873579502106
ISIC_0030338,212,0,0.03867403790354729,0.584656298160553,0.5014572143554688,0.1876186728477478,0.5459822602570057,0.46278317645192146,0.14894463494420052
ISIC_0032040,212,0,0.8174473643302917,0.8518697619438171,0.8430116772651672,0.8237971663475037,0.03442239761352539,0.02556431293487549,0.006349802017211914
ISIC_0031483,212,0,0.42450767755508423,0.326876699924469,0.4964849054813385,0.4914548695087433,-0.09763097763061523,0.07197722792625427,0.06694719195365906
ISIC_0027226,212,0,0.8294678926467896,0.7959375381469727,0.8540865182876587,0.7899547815322876,-0.033530354499816895,0.02461862564086914,-0.03951311111450195
ISIC_0026969,212,0,0.03762029483914375,0.6871157288551331,0.5853452086448669,0.346226304769516,0.6494954340159893,0.5477249138057232,0.30860600993037224
