isic_id,source_collection,label,color_cast_present,p_orig,p_noH,p_noS,p_noV,p_noHSV,dP_H,dP_S,dP_V,dP_HSV
ISIC_0034677,212,0,0,0.18114499747753143,0.08063167333602905,0.9320310950279236,0.20194914937019348,0.10228164494037628,-0.10051332414150238,0.7508860975503922,0.02080415189266205,-0.07886335253715515
ISIC_0031760,212,0,1,0.47917401790618896,0.06752713769674301,0.8327207565307617,0.4895676076412201,0.29750755429267883,-0.41164688020944595,0.35354673862457275,0.010393589735031128,-0.18166646361351013
ISIC_0026538,212,0,1,0.8293901681900024,0.26917675137519836,0.8033031225204468,0.8752328753471375,0.36027222871780396,-0.5602134168148041,-0.026087045669555664,0.04584270715713501,-0.4691179394721985
ISIC_0034250,212,0,1,0.5858532190322876,0.3422178328037262,0.5866991281509399,0.5932437181472778,0.29069894552230835,-0.2436353862285614,0.0008459091186523438,0.007390499114990234,-0.29515427350997925
ISIC_0027893,212,0,1,0.8078850507736206,0.7777921557426453,0.8104041814804077,0.8207855224609375,0.7160661816596985,-0.030092895030975342,0.0025191307067871094,0.012900471687316895,-0.09181886911392212
ISIC_0025315,212,0,0,0.16317646205425262,0.9153510332107544,0.9138392806053162,0.12983915209770203,0.919964611530304,0.7521745711565018,0.7506628185510635,-0.0333373099565506,0.7567881494760513
ISIC_0031136,212,0,1,0.07381723821163177,0.3570818603038788,0.6493990421295166,0.13758796453475952,0.4877181649208069,0.283264622092247,0.5755818039178848,0.06377072632312775,0.4139009267091751
ISIC_0027766,212,0,0,0.7005938291549683,0.3208949863910675,0.7384534478187561,0.7851034998893738,0.4185059070587158,-0.37969884276390076,0.03785961866378784,0.08450967073440552,-0.28208792209625244
ISIC_0033793,212,0,1,0.7729713320732117,0.7180865406990051,0.786585807800293,0.7848597764968872,0.7213848829269409,-0.05488479137420654,0.013614475727081299,0.011888444423675537,-0.05158644914627075
ISIC_0031260,212,0,0,0.049488674849271774,0.031792908906936646,0.6197009682655334,0.04616246744990349,0.5397504568099976,-0.01769576594233513,0.5702122934162617,-0.003326207399368286,0.4902617819607258
ISIC_0026208,212,0,1,0.023547707125544548,0.04900018870830536,0.24130505323410034,0.05070384591817856,0.03962065279483795,0.02545248158276081,0.2177573461085558,0.02715613879263401,0.016072945669293404
ISIC_0029629,212,0,0,0.05464814230799675,0.070844866335392,0.2631373405456543,0.06856317073106766,0.06699606776237488,0.01619672402739525,0.20848919823765755,0.013915028423070908,0.012347925454378128
ISIC_0033556,212,0,1,0.854710578918457,0.809941291809082,0.8127995133399963,0.8432219624519348,0.64753657579422,-0.044769287109375,-0.04191106557846069,-0.011488616466522217,-0.20717400312423706
ISIC_0024851,212,0,0,0.8750145435333252,0.15028509497642517,0.8987042307853699,0.8726011514663696,0.22053731977939606,-0.7247294485569,0.023689687252044678,-0.0024133920669555664,-0.6544772237539291
ISIC_0027481,212,0,1,0.06088215485215187,0.04059510678052902,0.16206297278404236,0.3251588046550751,0.06379659473896027,-0.02028704807162285,0.10118081793189049,0.2642766498029232,0.0029144398868083954
ISIC_0028138,212,0,0,0.04840603098273277,0.09267011284828186,0.6291685700416565,0.05527840927243233,0.22085325419902802,0.04426408186554909,0.5807625390589237,0.0068723782896995544,0.17244722321629524
ISIC_0031456,212,0,0,0.0214590635150671,0.01724575087428093,0.2789408564567566,0.03891437128186226,0.026362087577581406,-0.004213312640786171,0.2574817929416895,0.01745530776679516,0.004903024062514305
ISIC_0025135,212,0,1,0.0323789082467556,0.10604178160429001,0.5081879496574402,0.12221592664718628,0.07365059852600098,0.07366287335753441,0.4758090414106846,0.08983701840043068,0.04127169027924538
ISIC_0033088,212,0,1,0.8000357747077942,0.43022671341896057,0.8257250785827637,0.8226785659790039,0.4022026062011719,-0.3698090612888336,0.025689303874969482,0.022642791271209717,-0.3978331685066223
ISIC_0026205,212,0,0,0.3944965898990631,0.2179068922996521,0.8848558664321899,0.41691863536834717,0.7207245230674744,-0.176589697599411,0.49035927653312683,0.022422045469284058,0.32622793316841125
ISIC_0025070,212,0,0,0.14153458178043365,0.07353010773658752,0.7148853540420532,0.13588424026966095,0.6642703413963318,-0.06800447404384613,0.5733507722616196,-0.005650341510772705,0.5227357596158981
ISIC_0027310,212,0,0,0.7907570600509644,0.7563126087188721,0.7699028253555298,0.7736037373542786,0.7652990221977234,-0.034444451332092285,-0.02085423469543457,-0.01715332269668579,-0.025458037853240967
ISIC_0029752,212,0,0,0.40182095766067505,0.07693885266780853,0.44560790061950684,0.4376026391983032,0.04728108271956444,-0.3248821049928665,0.04378694295883179,0.035781681537628174,-0.3545398749411106
ISIC_0025883,212,0,1,0.7560703158378601,0.4423154890537262,0.7408380508422852,0.7602552771568298,0.40837377309799194,-0.3137548267841339,-0.015232264995574951,0.0041849613189697266,-0.34769654273986816
ISIC_0031422,212,0,0,0.6114753484725952,0.5015100240707397,0.7764464616775513,0.6008200645446777,0.5559976696968079,-0.10996532440185547,0.16497111320495605,-0.01065528392791748,-0.055477678775787354
ISIC_0032304,212,0,1,0.8094251751899719,0.5950246453285217,0.7820760607719421,0.8211230039596558,0.5462993383407593,-0.2144005298614502,-0.027349114418029785,0.011697828769683838,-0.26312583684921265
ISIC_0028986,212,0,1,0.02284541353583336,0.06340110301971436,0.1282990425825119,0.06683696061372757,0.07071498781442642,0.040555689483881,0.10545362904667854,0.04399154707789421,0.04786957427859306
ISIC_0031327,212,0,0,0.1270214170217514,0.06026453897356987,0.6834567785263062,0.1424439251422882,0.1059241071343422,-0.06675687804818153,0.5564353615045547,0.015422508120536804,-0.02109730988740921
ISIC_0035508,212,0,0,0.2375650405883789,0.12282495200634003,0.7560690641403198,0.2557595670223236,0.221468985080719,-0.11474008858203888,0.5185040235519409,0.018194526433944702,-0.016096055507659912
